temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
174.0,1111.0,29.635,28.223,27.764,27.701,0.0
176.0,1106.0,29.657,28.245,27.786,27.714,0.0
178.0,1101.0,29.609,28.267,27.808,27.728,0.0
180.0,1097.0,29.609,28.289,27.83,27.743,0.0
182.0,1098.0,29.701,28.289,27.808,27.756,0.0
184.0,1093.0,29.542,28.311,27.851,27.77,0.0
186.0,1112.0,29.612,28.242,27.873,27.777,0.0
188.0,1088.0,29.549,28.337,27.877,27.791,0.0
190.0,1072.0,29.546,28.402,27.873,27.809,0.0
192.0,1091.0,29.568,28.333,27.917,27.819,0.0
194.0,1103.0,29.501,28.289,27.873,27.825,0.0
196.0,1080.0,29.435,28.38,27.942,27.838,0.0
198.0,1088.0,29.409,28.355,27.917,27.848,0.0
200.0,1118.0,29.457,28.242,27.895,27.847,0.0
202.0,1082.0,29.483,28.38,27.921,27.858,0.0
204.0,1084.0,29.572,28.377,27.917,27.867,0.0
206.0,1084.0,29.501,28.377,27.917,27.876,0.0
208.0,1061.0,29.549,28.468,27.939,27.891,0.0
210.0,1056.0,29.479,28.49,28.004,27.907,0.0
212.0,1099.0,29.343,28.329,28.026,27.908,0.0
214.0,1110.0,29.28,28.289,28.03,27.905,0.0
216.0,1092.0,29.35,28.358,28.121,27.908,1.0
218.0,1104.0,29.416,28.311,28.074,27.907,1.0
220.0,1104.0,29.346,28.311,27.939,27.906,1.0
222.0,1105.0,29.483,28.311,27.939,27.906,1.0
224.0,1081.0,29.391,28.402,28.008,27.913,1.0
226.0,1099.0,29.435,28.333,28.052,27.913,1.0
228.0,1105.0,29.483,28.311,28.008,27.912,1.0
230.0,1105.0,29.368,28.311,27.986,27.91,1.0
232.0,1100.0,29.391,28.333,28.008,27.911,1.0
234.0,1106.0,29.483,28.311,27.917,27.91,1.0
236.0,1088.0,29.483,28.38,27.917,27.914,1.0
238.0,1100.0,29.457,28.333,27.87,27.915,1.0
240.0,1082.0,29.527,28.402,27.939,27.921,1.0
242.0,1077.0,29.365,28.424,27.983,27.928,1.0
244.0,1096.0,29.365,28.355,27.983,27.929,1.0
246.0,1102.0,29.413,28.333,27.939,27.928,1.0
248.0,1107.0,29.391,28.311,28.03,27.925,1.0
250.0,1102.0,29.483,28.333,27.961,27.924,1.0
252.0,1084.0,29.413,28.402,27.983,27.929,1.0
254.0,1096.0,29.479,28.355,27.913,27.93,1.0
256.0,1078.0,29.457,28.424,28.052,27.937,1.0
258.0,1067.0,29.479,28.468,27.961,27.946,1.0
260.0,1086.0,29.409,28.399,28.052,27.949,1.0
262.0,1098.0,29.413,28.355,27.917,27.948,1.0
264.0,1109.0,29.368,28.311,27.873,27.943,1.0
266.0,1115.0,29.531,28.289,27.851,27.937,1.0
268.0,1096.0,29.483,28.358,27.873,27.937,1.0
270.0,1091.0,29.572,28.38,27.895,27.939,1.0
272.0,1091.0,29.501,28.38,27.986,27.941,1.0
