temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
434.0,1248.0,32.804,30.785,29.801,29.793,1.0
436.0,1242.0,32.804,30.807,29.801,29.795,1.0
438.0,1261.0,32.923,30.736,29.801,29.791,1.0
440.0,1237.0,32.877,30.83,29.779,29.795,1.0
442.0,1256.0,32.85,30.759,29.753,29.793,1.0
444.0,1238.0,32.923,30.83,29.823,29.797,1.0
446.0,1226.0,32.85,30.875,29.823,29.804,1.0
448.0,1252.0,32.873,30.781,29.846,29.803,1.0
450.0,1239.0,32.781,30.83,29.779,29.806,1.0
452.0,1240.0,32.9,30.83,29.801,29.808,1.0
454.0,1259.0,32.9,30.759,29.731,29.805,1.0
456.0,1246.0,32.877,30.807,29.779,29.805,1.0
458.0,1241.0,32.9,30.83,29.731,29.808,1.0
460.0,1241.0,32.923,30.83,29.823,29.811,1.0
462.0,1247.0,32.946,30.807,29.823,29.811,1.0
464.0,1242.0,32.923,30.83,29.801,29.813,1.0
466.0,1230.0,32.827,30.875,29.823,29.819,1.0
468.0,1250.0,32.85,30.803,29.731,29.818,1.0
470.0,1256.0,32.9,30.781,29.801,29.815,1.0
472.0,1231.0,32.877,30.875,29.801,29.821,1.0
474.0,1226.0,32.923,30.897,29.753,29.828,1.0
476.0,1251.0,32.827,30.803,29.775,29.826,1.0
478.0,1239.0,32.854,30.852,29.823,29.829,1.0
480.0,1227.0,32.781,30.897,29.846,29.835,1.0
482.0,1252.0,32.804,30.803,29.775,29.832,1.0
484.0,1258.0,32.854,30.781,29.846,29.828,1.0
486.0,1240.0,32.854,30.852,29.823,29.831,1.0
488.0,1235.0,32.9,30.875,29.775,29.835,1.0
490.0,1229.0,32.923,30.897,29.868,29.84,1.0
492.0,1224.0,32.85,30.92,29.89,29.847,1.0
494.0,1225.0,32.827,30.92,29.797,29.853,1.0
496.0,1249.0,32.804,30.826,29.89,29.851,1.0
498.0,1261.0,32.808,30.781,29.846,29.845,1.0
500.0,1248.0,32.785,30.83,29.801,29.844,1.0
502.0,1267.0,32.854,30.759,29.731,29.837,1.0
504.0,1249.0,32.854,30.83,29.823,29.836,1.0
506.0,1237.0,32.9,30.875,29.846,29.84,1.0
508.0,1232.0,32.946,30.897,29.797,29.845,1.0
510.0,1232.0,32.85,30.897,29.89,29.85,1.0
512.0,1233.0,32.827,30.897,29.89,29.854,1.0
514.0,1258.0,32.9,30.803,29.797,29.849,1.0
516.0,1239.0,32.854,30.875,29.823,29.852,1.0
518.0,1258.0,32.804,30.803,29.775,29.848,1.0
520.0,1245.0,32.9,30.852,29.846,29.848,1.0
522.0,1240.0,32.923,30.875,29.846,29.85,1.0
524.0,1234.0,32.97,30.897,29.868,29.854,1.0
526.0,1259.0,32.873,30.803,29.868,29.85,1.0
528.0,1216.0,32.9,30.968,29.846,29.86,1.0
530.0,1248.0,32.873,30.848,29.82,29.859,1.0
532.0,1266.0,32.946,30.781,29.846,29.852,1.0
534.0,1247.0,32.9,30.852,29.846,29.852,1.0
536.0,1266.0,32.97,30.781,29.868,29.846,1.0
538.0,1223.0,32.97,30.946,29.846,29.855,1.0
540.0,1231.0,32.966,30.92,29.797,29.86,1.0
542.0,1237.0,32.943,30.897,29.912,29.864,1.0
544.0,1262.0,32.873,30.803,29.912,29.858,1.0
546.0,1243.0,32.9,30.875,29.846,29.86,1.0
