temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
194.0,1113.0,28.571,27.437,26.916,26.825,1.0
196.0,1108.0,28.615,27.459,26.959,26.834,1.0
198.0,1127.0,28.659,27.39,26.847,26.836,1.0
200.0,1109.0,28.615,27.459,26.938,26.844,1.0
202.0,1122.0,28.706,27.412,26.869,26.847,1.0
204.0,1122.0,28.593,27.412,26.959,26.85,1.0
206.0,1099.0,28.684,27.502,26.959,26.86,1.0
208.0,1094.0,28.706,27.524,26.891,26.871,1.0
210.0,1119.0,28.615,27.434,26.891,26.873,1.0
212.0,1112.0,28.593,27.459,26.938,26.878,1.0
214.0,1136.0,28.615,27.368,26.938,26.874,1.0
216.0,1142.0,28.615,27.346,26.804,26.868,1.0
218.0,1148.0,28.728,27.325,26.916,26.862,1.0
220.0,1124.0,28.772,27.415,26.916,26.863,1.0
222.0,1113.0,28.816,27.459,26.847,26.868,1.0
224.0,1108.0,28.791,27.481,26.959,26.875,1.0
226.0,1103.0,28.747,27.502,26.959,26.883,1.0
228.0,1127.0,28.725,27.412,26.869,26.882,1.0
230.0,1132.0,28.681,27.39,26.938,26.88,1.0
232.0,1103.0,28.75,27.502,26.938,26.887,1.0
234.0,1127.0,28.747,27.412,26.869,26.886,1.0
236.0,1133.0,28.747,27.39,26.847,26.883,1.0
238.0,1110.0,28.838,27.481,26.847,26.888,1.0
240.0,1104.0,28.905,27.502,26.959,26.895,1.0
242.0,1105.0,28.835,27.502,26.869,26.9,1.0
244.0,1105.0,28.791,27.502,26.891,26.906,1.0
246.0,1129.0,28.769,27.412,26.869,26.903,1.0
248.0,1135.0,28.725,27.39,26.938,26.898,1.0
250.0,1106.0,28.794,27.502,26.847,26.904,1.0
252.0,1124.0,28.725,27.434,26.891,26.903,1.0
254.0,1106.0,28.703,27.502,26.891,26.908,1.0
256.0,1101.0,28.725,27.524,26.912,26.914,1.0
258.0,1125.0,28.703,27.434,27.003,26.912,1.0
260.0,1107.0,28.637,27.502,26.981,26.917,1.0
262.0,1125.0,28.659,27.434,26.891,26.914,1.0
264.0,1131.0,28.615,27.412,26.981,26.911,1.0
266.0,1131.0,28.728,27.412,26.981,26.907,1.0
268.0,1107.0,28.75,27.502,26.869,26.912,1.0
270.0,1126.0,28.703,27.434,26.912,26.91,1.0
272.0,1131.0,28.772,27.412,26.891,26.907,1.0
274.0,1108.0,28.703,27.502,26.981,26.911,1.0
276.0,1126.0,28.747,27.434,27.024,26.91,1.0
278.0,1108.0,28.703,27.502,26.981,26.914,1.0
280.0,1121.0,28.703,27.455,26.934,26.914,1.0
282.0,1097.0,28.75,27.546,26.934,26.922,1.0
284.0,1110.0,28.703,27.499,26.956,26.925,1.0
286.0,1092.0,28.637,27.568,26.956,26.933,1.0
288.0,1111.0,28.637,27.499,26.999,26.935,1.0
