temps,ACTU,MILIEU,LASER
89.97,31.35,28.29,26.84
90.12,31.35,28.29,26.84
90.27,31.35,28.29,26.84
90.42,31.35,28.29,26.84
90.57,31.35,28.29,26.93
90.72,31.26,28.29,26.84
90.87,31.35,28.38,26.84
91.02,31.35,28.29,26.84
91.17,31.35,28.29,26.93
91.32,31.35,28.38,26.84
91.47,31.44,28.38,26.93
91.62,31.44,28.38,26.93
91.77,31.44,28.38,26.93
91.92,31.44,28.38,26.93
92.07,31.44,28.38,26.84
92.22,31.44,28.38,26.93
92.37,31.44,28.38,26.93
92.52,31.44,28.38,26.93
92.67,31.44,28.38,26.93
92.82,31.54,28.38,26.93
92.97,31.44,28.38,26.93
93.12,31.44,28.38,26.93
93.27,31.54,28.38,26.93
93.42,31.54,28.38,26.93
93.57,31.54,28.47,26.93
93.72,31.54,28.38,26.93
93.87,31.54,28.47,26.93
94.02,31.54,28.47,26.93
94.17,31.54,28.47,27.02
94.32,31.54,28.47,27.02
94.47,31.54,28.47,27.02
94.62,31.54,28.47,26.93
94.77,31.54,28.47,27.02
94.92,31.54,28.47,27.02
95.07,31.54,28.47,27.02
95.22,31.54,28.47,27.02
95.37,31.63,28.47,27.02
95.52,31.54,28.47,27.02
95.67,31.63,28.57,27.02
95.82,31.54,28.57,27.02
95.97,31.63,28.47,27.02
96.12,31.63,28.47,27.02
96.27,31.63,28.57,27.11
96.42,31.54,28.57,27.11
96.57,31.63,28.57,27.02
96.72,31.63,28.57,27.11
96.87,31.63,28.57,27.11
97.02,31.63,28.57,27.11
97.17,31.63,28.57,27.11
97.32,31.63,28.57,27.11
97.47,31.63,28.57,27.11
97.62,31.63,28.66,27.11
97.77,31.63,28.57,27.11
97.92,31.73,28.57,27.11
98.07,31.63,28.57,27.11
98.22,31.73,28.66,27.11
98.37,31.63,28.66,27.20
98.52,31.73,28.66,27.20
98.67,31.73,28.66,27.20
98.82,31.73,28.66,27.20
98.97,31.73,28.66,27.20
99.12,31.73,28.66,27.11
99.27,31.73,28.66,27.20
99.42,31.73,28.66,27.20
99.57,31.73,28.66,27.20
99.72,31.73,28.66,27.20
99.87,31.73,28.66,27.20
100.02,31.73,28.66,27.20
100.17,31.73,28.66,27.20
100.32,31.73,28.66,27.20
100.47,31.73,28.66,27.20
100.62,31.73,28.66,27.29
100.77,31.82,28.66,27.20
100.92,31.73,28.75,27.20
101.07,31.82,28.75,27.20
101.22,31.82,28.66,27.29
101.37,31.82,28.75,27.29
101.52,31.82,28.75,27.29
101.67,31.82,28.75,27.29
101.82,31.82,28.75,27.29
101.97,31.82,28.75,27.29
102.12,31.82,28.75,27.29
102.27,31.82,28.75,27.29
102.42,31.82,28.75,27.29
102.57,31.82,28.75,27.29
102.72,31.82,28.75,27.29
102.87,31.92,28.84,27.29
103.02,31.92,28.84,27.38
103.17,31.92,28.84,27.38
103.32,31.92,28.75,27.38
103.47,31.92,28.84,27.29
103.62,31.92,28.84,27.38
103.77,31.92,28.84,27.38
103.92,31.92,28.84,27.38
104.07,31.92,28.84,27.38
104.22,31.92,28.84,27.38
104.37,31.92,28.84,27.38
104.52,31.92,28.84,27.38
104.67,31.92,28.84,27.38
104.82,31.92,28.84,27.47
104.97,31.92,28.84,27.38
105.12,31.92,28.84,27.38
105.27,31.92,28.93,27.38
105.42,31.92,28.93,27.38
105.57,32.01,28.93,27.38
105.72,32.01,28.84,27.47
105.87,32.01,28.93,27.38
106.02,32.01,28.93,27.47
106.17,32.01,28.93,27.47
106.32,32.01,28.93,27.47
106.47,32.01,28.93,27.47
106.61,31.92,28.93,27.47
106.77,32.01,28.93,27.47
106.91,32.01,28.93,27.47
107.07,32.01,28.93,27.47
107.21,32.01,29.02,27.47
107.37,32.01,28.93,27.38
107.51,32.01,28.93,27.47
107.66,32.01,28.93,27.56
107.81,32.01,29.02,27.47
107.96,32.01,29.02,27.47
108.11,32.11,28.93,27.47
108.26,32.01,29.02,27.47
108.42,32.01,29.02,27.47
108.56,32.11,29.02,27.47
108.72,32.01,29.02,27.47
108.86,32.01,29.02,27.56
109.01,32.01,29.02,27.56
109.16,32.11,29.02,27.56
109.31,32.11,29.02,27.56
109.46,32.11,29.02,27.56
109.61,32.11,29.02,27.56
109.76,32.11,29.12,27.56
109.91,32.11,29.12,27.56
110.06,32.11,29.12,27.56
110.21,32.11,29.12,27.56
110.36,32.11,29.12,27.56
110.51,32.11,29.12,27.56
110.66,32.11,29.12,27.56
110.81,32.11,29.02,27.56
110.96,32.11,29.12,27.56
111.11,32.11,29.12,27.56
111.26,32.11,29.12,27.65
111.41,32.20,29.12,27.65
111.56,32.11,29.12,27.65
111.71,32.11,29.12,27.65
111.86,32.20,29.21,27.65
112.01,32.20,29.12,27.65
112.16,32.20,29.12,27.65
112.31,32.11,29.12,27.65
112.46,32.20,29.12,27.65
112.61,32.20,29.12,27.65
112.76,32.11,29.12,27.65
112.91,32.20,29.21,27.65
113.06,32.20,29.21,27.65
113.21,32.20,29.12,27.65
113.36,32.20,29.21,27.74
113.51,32.20,29.12,27.74
113.66,32.20,29.21,27.65
113.81,32.20,29.21,27.74
113.96,32.20,29.21,27.74
114.11,32.20,29.21,27.74
114.26,32.20,29.21,27.74
114.41,32.20,29.21,27.74
114.56,32.20,29.21,27.74
114.71,32.20,29.21,27.74
114.86,32.20,29.21,27.74
115.01,32.30,29.30,27.74
115.16,32.20,29.21,27.74
115.31,32.20,29.21,27.74
115.46,32.20,29.30,27.74
115.61,32.20,29.30,27.74
115.76,32.30,29.30,27.84
115.91,32.30,29.30,27.74
116.06,32.30,29.30,27.84
116.21,32.30,29.30,27.74
116.36,32.30,29.30,27.84
116.51,32.30,29.30,27.74
116.66,32.30,29.30,27.84
116.81,32.30,29.30,27.84
116.96,32.30,29.30,27.74
117.11,32.30,29.30,27.84
117.26,32.30,29.30,27.84
117.41,32.30,29.30,27.84
117.56,32.39,29.30,27.74
117.71,32.30,29.30,27.84
117.86,32.30,29.30,27.84
118.01,32.39,29.39,27.84
118.16,32.39,29.39,27.84
118.31,32.39,29.39,27.84
118.46,32.39,29.30,27.84
118.61,32.39,29.39,27.93
118.76,32.39,29.39,27.84
118.91,32.39,29.39,27.84
119.06,32.39,29.39,27.84
119.21,32.39,29.39,27.93
119.36,32.39,29.39,27.84
119.51,32.39,29.39,27.93
119.66,32.39,29.39,27.93
119.81,32.39,29.39,27.93
119.96,32.39,29.39,27.93
120.11,32.39,29.39,27.93
120.26,32.49,29.39,27.93
120.41,32.49,29.39,27.93
120.56,32.49,29.39,27.93
120.71,32.49,29.39,27.93
120.86,32.49,29.49,27.93
121.01,32.49,29.49,27.93
121.16,32.49,29.49,27.93
121.31,32.49,29.49,27.93
121.46,32.49,29.49,27.93
121.61,32.49,29.39,28.02
121.76,32.49,29.49,27.93
121.91,32.49,29.49,27.93
122.06,32.49,29.49,27.93
122.21,32.49,29.49,27.93
122.36,32.49,29.49,28.02
122.51,32.49,29.49,28.02
122.66,32.58,29.49,27.93
122.81,32.49,29.49,27.93
122.96,32.58,29.49,28.02
123.11,32.58,29.49,28.02
123.26,32.58,29.49,27.93
123.41,32.58,29.49,28.02
123.56,32.58,29.49,28.02
123.71,32.49,29.49,28.02
123.86,32.58,29.58,28.02
124.01,32.58,29.58,27.93
124.16,32.58,29.49,28.02
124.31,32.58,29.58,28.02
124.46,32.58,29.58,28.02
124.61,32.58,29.58,28.02
124.76,32.58,29.58,28.02
124.91,32.58,29.49,28.11
